University,Society Name,About,Keyword
University Of Birmingham,Engineers Without Borders,"Our mission is to facilitate human development through engineering. EWB offer the opportunity to debate, get hands-on skills, take part in outreach events, travel on placements abroad and much more.","Career / Academic
/ Employability"
University Of Birmingham,History,A group for everyone who studies history or is just interested in it; meet like-minded people for socials and events!,"Career / Academic
/ Employability"
University Of Birmingham,Modern Languages,"We welcome all students who share a passion for languages, whether or not you study them! We're planning a year of exciting socials, and chances for you to meet people and develop your language skills","Career / Academic
/ Employability"
University Of Birmingham,Airsoft & Paintball,"Airsoft and Paintball are combat simulation sports where players shoot at each other with plastic or paint, playing in teams to capture a flag, defend a fort or just look good doing it!","Outdoor / Activities
/ Sports"
University Of Birmingham,Yoga,Welcome to UoB's Yoga Society! Come and explore the benefits of Yoga taught weekly by our professional instructors. We have exciting social events planned for this year so become a member today!,"Outdoor / Activities
/ Sports"
University Of Birmingham,Skydiving,"Learn how to become a qualified skydiver with the University of Birmingham's fastest, most extreme sport! We jump all year round and meet every week for socials.","Outdoor / Activities
/ Sports"
University Of Birmingham,Pole Fitness,"Whether you have any previous pole experience or just up for trying something new, Pole Fitness aims to noticeably improve fitness levels, enhance muscle tone and flexibility for anyone!","Outdoor / Activities
/ Sports"
University Of Birmingham,Parkour,Parkour is the discipline of navigating a complex environment in the most efficient way; we aim to nurture a community in the University of Birmingham for traceurs/traceuses to practice Parkour.,"Outdoor / Activities
/ Sports"
University Of Birmingham,Whisky,A group for people interested in tasting different types of whisky,Food & Drink
University Of Birmingham,Wine,Wine Society brings people together with one common interest - wine! Come along to our fortnightly tastings and see what we're all about!,Food & Drink
University Of Birmingham,Vegetarian & Vegan,"VegSoc is a supportive and social student group, welcoming everyone from those just starting to reduce their meat consumption to the life-long vegans!",Food & Drink
University Of Birmingham,Tea,"Join us every Friday, 1pm - 3pm. Sit down and unwind with good company, a biscuit or two and, of course, as much tea as you can drink!",Food & Drink
University Of Birmingham,Real Ale & Cider,"The Real Ale & Cider appreciation society organises trips to local venues, breweries and related events",Food & Drink
University Of Birmingham,SATNAV,The student-led bi-annual science magazine at the University. If you have an interest in journalism or science communication then this is a great opportunity to get experience!,Other Interests
University Of Birmingham,Save A Child's Heart,A society that supports an international humanitarian organisation whose mission is to improve the quality of pediatic care for children from developing countries.,Other Interests
University Of Birmingham,Speak Out,Calling all lovers of poetry and spoken word! We are a group for everyone with an interest in spoken word performances and writing poetry.,Other Interests
University Of Birmingham,Startup,Encouraging the spirit of entrepreneurship and the creation of startups at the University of Birmingham,Other Interests
University Of Birmingham,Tabletop Gaming,"For anyone interested in various forms of tabletop gaming. We run roleplaying campaigns on Wednesdays 2-7pm and Sundays 1-7pm, and play Board Games, Card games and War Games on Fridays 2-10pm.",Other Interests
Aston University,Afro-Caribbean Society,"Our aim as a society is to educate, empower, entertain and engage our members. We host a range of social and cultural events from days out, showcases and educational events that help celebrate the African and Caribbean culture, helping society members embrace and intergrate within the society.",Culture / Nation / Faith
Aston University,Indian Society,Aston University Indian Society,Culture / Nation / Faith
Aston University,Aston Mandarin Society,"Our society was built at the beginning of June last year 2018�and aims to help mainland students to integrate into Aston, the big family. We hope to build a bridge between you and our school. We will try to provide at least two events each month, which include a dancing ball, academic lectures and outdoor activities, etc. We had over 150 members last year, and hold the first Chinese new year event in Aston!��We REALLY REALLY look forward you joining this big family.",Culture / Nation / Faith
Aston University,Chinese Society,"This is a great opportunity for you to meet others, make friends and learn about the chinese culture!",Culture / Nation / Faith
Aston University,Arab Society,Aston University Arab Society,Culture / Nation / Faith
Aston University,Aston Bright Futures Society,"We work with leading businesses across a wide range of sectors (commercial, pharmaceutical, engineering, technological, legal�) to maximise your opportunity to network/connect with the world�s biggest and most innovative brands! In the past years, these included Shell, Capgemini, Microsoft, and Deloitte - just to name a few!","Career / Academic
/ Employability"
Aston University,Aston BioSoc Society,"We're a society open to all students especially those studying a Biology-related degree. This includes Biological Sciences, Biomedical Science and Biochemistry. Students from any school at Aston University are welcome to join and we will be hosting regular social mixers for students to network with other like-minded studentd from different courses. Any money we make goes straight back into the society, and we'll be organising events where everyone can be included!","Career / Academic
/ Employability"
Aston University,Optics Society,"We're a society open to all students, especially those studying Optometry!","Career / Academic
/ Employability"
Aston University,TEDx Aston University,"TED conference was first hosted 33 years ago in 1984. Since then the organisation has constantly evolved and grown with one purpose: to share ideas worth spreading. Speakers come from all over the world come to share ground-breaking inventions, unique insights, and inspirational stories. The talks are delivered in various fields: art, business, biology, technologies and many more.","Career / Academic
/ Employability"
Aston University,Computer Science Society,"We are the student Computer Science society at Aston University. We run social and tech events, open to all. You don�t need to be studying CS to be a part of the society, nor do you need any technical experience. We�re all about learning and sharing ideas!","Career / Academic
/ Employability"
Aston University,Boxing Club,Aston Boxing Club is an affiliated member of the Aston Students� Union. It�s goal is to promote the sport of Boxing in the University and is open to all ability levels. We aim to promote member�s participation in regular training sessions by providing quality coaching in fitness and technique to ensure that every member can learn the basic skills and demands required in Boxing. Aston Boxing Club does not discriminate against any individual that wants to learn the sport of Boxing and is open to all ability levels for both men and women. We promote a culture of tolerance and respect for all.,"Outdoor / Activities
/ Sports"
Aston University,Cricket Club,"We train every Thursday in Hall 2 of the Woodcock Sports Centre at 6-8pm. We will have a regular coach each week which will run at least�one session a week.There's also plenty of events for our members off the pitch throughout the year, from nights out, recreational football on a Wednesday there's always something to look forward to. Our season starts midway through the first term with the indoor league and a more friendly interclub IPL style competition. The outdoor games start during the third term where we have two teams compete in the BUCS leagues, last year our first team were undefeated and got promoted into the BUCS Midlands 3A. After the season has finished we go away on our annual tour where the destination will be confirmed by the committee.�","Outdoor / Activities
/ Sports"
Aston University,Futsal Club,Aston University Futsal Club,"Outdoor / Activities
/ Sports"
Aston University,Mountaineering Club,"At Aston Mountaineering, we're�all about hiking and climbing in all its various forms. With three weekly indoor climbing and bouldering sessions at local centres, as well as a range of regular and one-off socials and events, we are a friendly and welcoming club, open to members of any ability�- whether you�re a complete beginner or have years of experience, you�re more than welcome to join us!","Outdoor / Activities
/ Sports"
Aston University,Aston Racing,"We represent Aston University in the British Universities Karting Championship, racing against 80 teams from 40 universities�on the fastest arrive and drive karts in Europe! Think 5-60mph in 4.5 seconds, faster than any standard track kart! If you think you have what it takes to compete at the highest level, get in touch! We attend Race and Test events around the year, and run regular socials at local tracks too! �","Outdoor / Activities
/ Sports"
Aston University,Aston Veg Soc,Aston University Veg Society,Food & Drink
Aston University,Tea Society,"Our meet ups are fun, friendly and informal, with a different activity every week. Everyone is welcome (we don't just drink tea!).",Food & Drink
Aston University,Whisky,A group for people interested in tasting different types of whisky,Food & Drink
Aston University,Vegetarian & Vegan,"VegSoc is a supportive and social student group, welcoming everyone from those just starting to reduce their meat consumption to the life-long vegans!",Food & Drink
Aston University,Real Ale & Cider,"The Real Ale & Cider appreciation society organises trips to local venues, breweries and related events",Food & Drink
Aston University,AUX Radio Station,"AUX is the Radio Station at Aston University! Tune in to find out about what's�going on at Aston, from events to freebies. Listen to Aston students share their wild stories and listen to great playlists, ready for a night out!",Other Interests
Aston University,Chess Society,"Aston Chess Society welcomes a range of experience, from beginners to pros. This is a great place for those who want to improve their chess game skills. Not only will it help promote brain growth, but you can also raise your IQ and spark your creativity. However, if you do not know how to play chess, do not worry, we provide help and support to teach all of you. We have fun and exciting ways to coach you.�",Other Interests
Aston University,DJ Society,"Aston DJ Society (ADJ) is for aspiring DJ�s who want to share their passion with like minded people.�Whether you�ve never touched the decks before or you�re a regular, we welcome all levels of ability to join us in a society that provides you with the help you need, whilst enjoying every second of it. You may not even want to DJ, but if you want to explore the nightlife that Birmingham has to offer, or expand your music knowledge and taste then this is the place for you.",Other Interests
Aston University,Doctor Who Society,"We invite you to join Aston Who Soc.�Whether you have a mild interest in the show, are a die-hard fan who likes to dress up as K9 at conventions (you know who you are), or even if you are completely new to Doctor Who, everyone is welcome! We have weekly meetings with a large variety of fun activities.",Other Interests
Aston University,Entrepreneurs Society,ASTON ENTREPRENEURS NOT ONLY DEVELOPS THE PROFESSIONAL SKILLS OF BUDDING ENTREPRENEURS THROUGH HOSTING EVENTS SUCH AS MASTERCLASSES WITH WELL-KNOWN COMPANIES; WE ALSO CULTIVATE THEIR ENTREPRENEURIAL SPIRITS BY SUPPORTING START-UPS.,Other Interests
Nottingham Trent University,Afro-Caribbean Society,"This is the African Caribbean Society for NTU students. A variety of social events will be held throughout the year, so come and have some fun!",Culture / Nation / Faith
Nottingham Trent University,City Christian Union,"We're the NTUCU (Nottingham Trent Christian Union). 
We're a group of Christians from different churches all over Notts.
Ultimately we exist as a missional team on NTU City
Campus to show Jesus to students through the events
that we put on, and the way we live out living for
Jesus individually and with each other. Living for
Jesus during your time at university can be really
difficult sometimes. We want to be a support network
on campus (you will also have your Notts church of course!)
with fellow students who are going through the same joys and
struggles of Uni life!�",Culture / Nation / Faith
Nottingham Trent University,Filipino Society,"Mabuhay! This is a cultural society, aiming�to unite those with an interest in the Filipino culture! Whether you are filipino or not, we will welcome anyone of all ethnicities�with open arms!�",Culture / Nation / Faith
Nottingham Trent University,German Society,"We are the NTU German Society.�You are welcome to join us, whether you are German, looking to improve your German skills, or simply interested in the German culture - we have German natives and non-Germans alike! We even have the in-betweeners, the half-Germans.�",Culture / Nation / Faith
Nottingham Trent University,Gospel Choir Society,"Whether you�re an experienced gospel singer or just getting started, we�ll give you the opportunity to grow your confidence and develop your skills in a fun, laid back environment.�",Culture / Nation / Faith
Nottingham Trent University,Accounting and Finance Society,We bring together students who are interested in accounting as well as those studying on the Accounting and Finance course at NTU to meet and discuss ideas.,"Career / Academic
/ Employability"
Nottingham Trent University,Architecture,"This is the Architecture Society for NTU students.�New members are always welcome if you're studying in the school or you're just interested in architecture, come and join the fun!","Career / Academic
/ Employability"
Nottingham Trent University,Criminology Society,"This society is open for all students with an interest in crime and Criminology, you don't need to be a Criminology student to join!","Career / Academic
/ Employability"
Nottingham Trent University,Entrepreneur Society,"At the Entrepreneur Society, our aim is to provide our members with unique business and career opportunities from internships to starting your own business. We will support you with finding financing for your business ideas, helping you write CV's and bringing you along to our networking events where you will have the chance to meet established business owners and executives.","Career / Academic
/ Employability"
Nottingham Trent University,HR Society,"The HR Society attend external events such as CIPD Conferences, go on socials such as Ocean and Quiz nights�and will be hosting�some revision sessions coming up to exam season.","Career / Academic
/ Employability"
Nottingham Trent University,AIRSOFT,"Are you into FPS games, enjoy paintball, fancy yourself as an action hero or just enjoy a great day out with friends?","Outdoor / Activities
/ Sports"
Nottingham Trent University,DARTS,Nottingham Trent Darts Society,"Outdoor / Activities
/ Sports"
Nottingham Trent University,FOOTGOLF SOCIETY,Brand new for the 2018/2019 academic year!�We have liaised with NTSU to bring you an all new Footgolf experience. All abilities welcome!,"Outdoor / Activities
/ Sports"
Nottingham Trent University,NTU MOTORSPORTS SOCIETY,Nottingham Trent Motorsports Society,"Outdoor / Activities
/ Sports"
Nottingham Trent University,Boxing Club,It�s goal is to promote the sport of Boxing in the University and is open to all ability levels. We aim to promote member�s participation in regular training sessions by providing quality coaching in fitness and technique to ensure that every member can learn the basic skills and demands required in Boxing.,"Outdoor / Activities
/ Sports"
Nottingham Trent University,Gin Society,"NTU Gin Society welcomes everyone with even the slightest interest in gin. If you like drinking it, talking about it or even just like how pretty the bottles can be � we�re here to teach you more about the drink that�s becoming more and more popular by the day.",Food & Drink
Nottingham Trent University,Real Ale & Cider,"As a society, in appreciating the very highest quality beers and ciders, we visit the best pubs around Nottinghamshire, Leicester and elsewhere, as well as all the unmissable beer festivals the Midlands have to offer. Any students at NTU, whether fans of real ale and cider already, or simply looking for a change from the usual student culture and an adventure are welcome.",Food & Drink
Nottingham Trent University,The Coffee Club,"The Coffee Club�intends to create a�network�of people from around all three campuses that can communicate through group chat to meet at any hours of the day for a�coffee (or tea)�and a small time out from studies, or just a general chat.",Food & Drink
